Country,HDI,GII,LifeExp,AvgSchooling,GNI,SoftPower,Digital,Culture,Enterprise,Engagement,Education,Government
Norway,0.944,0.86,81.6,12.6,64992,57.96,54.77,22.82,59.7,46.72,50.42,86.98
Australia,0.935,0.89,82.4,13.0,42261,68.92,74.34,57.7,63.31,40.8,59.88,82.4
Switzerland,0.930,1,83.0,12.8,56431,67.52,35.67,44.75,79.88,45.05,64.44,88.29
Denmark,0.923,0.94,80.2,12.7,44025,63.2,65.86,34.02,69.97,44.63,57.63,85.77
Netherlands,0.922,0.98,81.6,11.9,45435,65.21,61.72,41.02,66.88,52.27,65.65,86.38
Germany,0.916,0.92,80.9,13.1,43919,73.89,72.23,60.61,65.99,64.85,70.66,84.52
Ireland,0.916,0.95,80.9,12.2,39568,55.61,47.26,32.24,64.6,34.57,46.81,80.84
USA,0.915,0.97,79.1,12.9,52947,73.68,83.42,81.87,66.4,62.41,87.58,70.18
New Zealand,0.913,0.9,81.8,12.5,32689,60,58.1,27.41,63.37,30.29,54.05,82.12
Canada,0.913,0.89,82.0,13.0,42155,71.71,68.52,52.66,60.42,47.92,73.46,81.59
Singapore,0.912,0.96,83.0,10.6,76628,52.5,65.45,31.51,76.65,22.72,48.72,60.74
Sweden,0.907,0.99,82.2,12.1,45636,66.49,62.81,35.13,73.74,47.02,61.35,86.75
UK,0.907,0.99,80.7,13.1,39267,75.61,81.34,72.16,59.83,73.2,75.72,80
Korea,0.898,0.91,81.9,11.9,33890,54.32,74.28,41.41,69.99,41.25,61.71,73.92
Israel,0.894,0.85,82.4,12.5,30676,44.51,75.84,28.81,62.97,26.03,54.14,71.21
Japan,0.891,0.87,83.5,11.5,36927,66.86,63.56,43.66,75.05,51.82,71.05,72.7
Belgium,0.890,0.83,80.8,11.3,41187,58.85,48.18,45.72,50.56,52.54,51.44,79.71
France,0.888,0.86,82.2,11.1,38056,73.64,78.46,64.46,51.61,74.61,69.9,79.6
Austria,0.885,0.88,81.4,10.8,43869,62,63.47,36.85,60.73,47.35,52.81,84.06
Finland,0.883,0.96,80.8,10.3,38695,60.19,54.72,17.99,72.71,44.94,53.98,83.9
Spain,0.876,0.81,82.6,9.6,32045,61.7,52.63,56.69,46.95,52.14,59.01,74.22
Italy,0.873,0.79,83.1,10.1,33030,63.09,54.22,49.59,39.19,53.8,59.04,73.02
Czech Rep.,0.870,0.84,78.6,12.3,26660,43.26,31.71,29.93,46.28,39.15,40.54,77.96
Greece,0.865,0.69,80.9,10.3,24524,45.73,57.28,33.59,28.22,39.35,39.5,66.55
Poland,0.843,0.68,77.4,11.8,23177,46.5,51.47,26.02,38.43,40.26,56.29,73.28
Portugal,0.830,0.79,80.9,8.2,25757,48.97,43.85,27.87,46.14,40.75,38.16,72.63
Turkey,0.761,0.59,75.3,7.6,18677,42.55,54.16,32.47,32.95,40.22,47.39,52.89
Mexico,0.756,0.6,76.8,8.5,16056,42.52,58.26,38.94,29.33,36.3,42.64,48.56
Brazil,0.755,0.51,74.5,7.7,15175,46.63,44.32,40.48,25.56,44.59,48.37,48.08
China,0.727,0.8,75.8,7.5,12547,40.85,28.82,49.02,43.66,49.78,54.54,41.1
